datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
9/28/2020 5:00,9/28/2020 1:00,MIDATL,-1.135
9/28/2020 5:00,9/28/2020 1:00,SOUTH,-1.886
9/28/2020 5:00,9/28/2020 1:00,WEST,-0.23
9/28/2020 5:00,9/28/2020 1:00,RTO,-3.251
9/28/2020 5:00,9/28/2020 1:00,RFC,-1.365
9/28/2020 5:00,9/28/2020 1:00,OTHER,0
9/28/2020 4:00,9/28/2020 0:00,MIDATL,-1.109
9/28/2020 4:00,9/28/2020 0:00,SOUTH,-2.07
9/28/2020 4:00,9/28/2020 0:00,WEST,-0.239
9/28/2020 4:00,9/28/2020 0:00,RTO,-3.418
9/28/2020 4:00,9/28/2020 0:00,RFC,-1.348
9/28/2020 4:00,9/28/2020 0:00,OTHER,0
9/28/2020 3:00,9/27/2020 23:00,MIDATL,-1.225
9/28/2020 3:00,9/27/2020 23:00,SOUTH,-1.832
9/28/2020 3:00,9/27/2020 23:00,WEST,-0.243
9/28/2020 3:00,9/27/2020 23:00,RTO,-3.3
9/28/2020 3:00,9/27/2020 23:00,RFC,-1.468
9/28/2020 3:00,9/27/2020 23:00,OTHER,0
9/28/2020 2:00,9/27/2020 22:00,MIDATL,-1.269
9/28/2020 2:00,9/27/2020 22:00,SOUTH,-2.023
9/28/2020 2:00,9/27/2020 22:00,WEST,-0.25
9/28/2020 2:00,9/27/2020 22:00,RTO,-3.542
9/28/2020 2:00,9/27/2020 22:00,RFC,-1.519
9/28/2020 2:00,9/27/2020 22:00,OTHER,0
